neaddress,count,normalized_address,latitude,longitude
"Россия, край Краснодарский, г. Краснодар, ул. Морская, д. 54/2/к.5,   Автозал",2079,"ул. Морская Морская, г. Краснодар",44.979411,38.950079
"Россия, обл. Свердловская, г. Екатеринбург, ул. Зоологическая, стр. 9, Башня на кровле МТС ПАО",1816,"ул. Зоологическая Зоологическая, г. Екатеринбург",56.812695,60.539506
"Россия, край Краснодарский, г. Краснодар, ул. Морская, д. 54/2/к.3",1696,"ул. Морская Морская, г. Краснодар",44.979411,38.950079
"Россия, обл. Свердловская, г. Екатеринбург, пер. Асбестовский, д. 4, Внутри здания ",1545,"пер. Асбестовский Асбестовский, г. Екатеринбург",56.847927,60.632194
"Россия, обл. Новосибирская, г. Новосибирск, ул. Богдана Хмельницкого, д. 90/1, Внутри здания ",1453,"ул. Богдана Хмельницкого Богдана Хмельницкого, г. Новосибирск",55.083493,82.966648
"Россия, обл. Новосибирская, г. Новосибирск, ул. 2-я Станционная, д. 33а,   башня, Башня БИК ООО",1351,"ул. 2-я Станционная 2-я Станционная, г. Новосибирск",55.017302,82.804188
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Каяни, д. 15, Башня БИК ООО",1346,"ул. Каяни Каяни, г. Ростов-на-Дону",47.233074,39.747163
"Россия, обл. Новосибирская, р-н Северный, с Северное, ул. Октябрьская, д. 35,   опора, МАО (башня/мачта на пригрузах) БИК ООО",432,"ул. Октябрьская Октябрьская, р-н Северный",56.341867,78.37994
"Россия, обл. Новосибирская, р-н Коченевский, с Прокудское,    опора, МАО (башня/мачта на пригрузах) БИК ООО",356,,44.932351,7.537081
"Россия, обл. Ростовская, г. Шахты, ул. Володарского, д. 47 А, Башня РТПЦ",310,"ул. Володарского Володарского, г. Шахты",47.718307,40.221133
"Россия, обл. Свердловская, г. Екатеринбург, ул. Зоологическая, стр. 9,   3 технологический этаж, Внутри здания ",251,"ул. Зоологическая Зоологическая, г. Екатеринбург",56.812695,60.539506
"Россия, обл. Новосибирская, р-н Чулымский, с Серебрянское,   опора, МАО (башня/мачта на пригрузах) БИК ООО",215,,44.932351,7.537081
"Россия, обл. Новосибирская, г. Новосибирск, ул. Челюскинцев, д. 14/2, Кровля здания Прочие",201,"ул. Челюскинцев Челюскинцев, г. Новосибирск",55.03928,82.905293
"Россия, обл. Новосибирская, р-н Ордынский, с Козиха,   опора, МАО (башня/мачта на пригрузах) БИК ООО",168,,44.932351,7.537081
"Россия, респ. Татарстан, г. Казань, ул. Вишневского, д. 2E, Внутри здания Прочие",151,"ул. Вишневского Вишневского, п. Татарстан",55.620464,52.596791
"Россия, обл. Свердловская, г. Екатеринбург, ул. Олега Кошевого, д. 34",148,"ул. Олега Кошевого Олега Кошевого, г. Екатеринбург",56.77955,60.642471
"Россия, обл. Новосибирская, г. Новосибирск, ул. 2-я Станционная, д. 33а,   башня",147,"ул. 2-я Станционная 2-я Станционная, г. Новосибирск",55.017302,82.804188
"Россия, обл. Новосибирская, р-н Коченевский, ст Дупленская, ул. Восточная,   0.29 км северо-западнее дома 17, башня, Башня Первая Башенная Компания АО",146,"ул. Восточная Восточная, р-н Коченевский",55.006136,82.470778
"Россия, край Краснодарский, р-н Ейский, г. Ейск, ул. Мира, д. 105, Кровля здания Прочие",142,"ул. Мира Мира, р-н Ейский",46.650212,38.437402
"Россия, край Краснодарский, р-н Северский, ст-ца Северская, ул. Запорожская, д. 19,   столб, Столб железобетонный БИК ООО",140,"ул. Запорожская Запорожская, р-н Северский",44.850104,38.664496
"Россия, респ. Татарстан, г. Казань, ул. Побежимова, д. 31, Кровля здания Прочие",138,"ул. Побежимова Побежимова, п. Татарстан",55.620464,52.596791
"Россия, обл. Ростовская, р-н Цимлянский, х Антонов, ул. Центральная,   около д. 22А, ЖБО, Столб железобетонный БИК ООО",136,"ул. Центральная Центральная, р-н Цимлянский",47.847728,42.228292
"Россия, обл. Ростовская, г. Ростов-на-Дону, ул. Лермонтовская, д. 177 Б,   башня, Башня БИК ООО",119,"ул. Лермонтовская Лермонтовская, г. Ростов-на-Дону",47.230676,39.713243
"Россия, край Краснодарский, р-н Отрадненский, п Урупский, ул. Ленина, уч. 1в,   опора, Столб металлический БИК ООО",119,"ул. Ленина Ленина, р-н Отрадненский",44.479512,41.661887
"Россия, обл. Ростовская, р-н Миллеровский, г. Миллерово, пер. Средний, д. 52,   столб, Столб металлический БИК ООО",115,"пер. Средний Средний, р-н Миллеровский",48.933432,40.38
"Россия, обл. Свердловская, р-н Невьянский, п Калиново, ул. Советская, д. 30а,   башня связи, Башня БИК ООО",114,"ул. Советская Советская, р-н Невьянский",57.136543,60.147248
"Россия, край Краснодарский, р-н Апшеронский,   р-н хр. Инженерный, пещера Азишская, башня, Башня БИК ООО",112,,44.932351,7.537081
"Россия, респ. Татарстан, г. Набережные Челны, пр-д Автосборочный, д. 16А, Башня на кровле МТС ПАО",108,,44.932351,7.537081
"Россия, край Краснодарский, г. Краснодар, ул. Гимназическая, д. 61, Кровля здания Прочие",107,"ул. Гимназическая Гимназическая, г. Краснодар",45.025234,38.971145
"Россия, край Краснодарский, р-н Калининский, ст-ца Калининская, ул. Лесная, д. 29Б,   столб, Столб железобетонный БИК ООО",106,"ул. Лесная Лесная, р-н Калининский",56.930198,35.92556
"Россия, край Краснодарский, г. Краснодар, тер. Пашковский жилой массив, ул. Черноморская,   0,02 км южнее дома 37, ОДН, ОДН Русмаркет ООО",100,"ул. Черноморская Черноморская, г. Краснодар",45.033617,39.112989
"Россия, край Краснодарский, р-н Новокубанский, ст-ца Советская, ул. Ленина,   столб, Столб железобетонный БИК ООО",98,"ул. Ленина Ленина, р-н Новокубанский",44.643193,41.314149
"Россия, край Краснодарский, г. Краснодар, ул. Гаражная, д. 81/6, Кровля здания Прочие",97,"ул. Гаражная Гаражная, г. Краснодар",45.058714,38.970247
"Россия, обл. Свердловская, г. Полевской, ул. Бажова, д. 5, Мачта на кровле МТС ПАО",95,"ул. Бажова Бажова, г. Полевской",56.446354,60.15977
"Россия, обл. Ростовская, р-н Егорлыкский, х Кугейский, ул. Октябрьская, д. 154, Столб железобетонный БИК ООО",93,"ул. Октябрьская Октябрьская, р-н Егорлыкский",46.463322,40.517065
"Россия, обл. Свердловская, г. Екатеринбург, ул. Первомайская,   0.062 км северо-восточнее дома 2, ОДН, ОДН ВЕРТИКАЛЬ-УРАЛ ООО",92,"ул. Первомайская Первомайская, г. Екатеринбург",56.844702,60.636722
"Россия, обл. Ростовская, г. Гуково, ул. Шахтерская, д. 40А,   башня, Башня Прочие",91,"ул. Шахтерская Шахтерская, г. Гуково",48.058363,39.941002
"Россия, обл. Ростовская, р-н Неклиновский, х Николаево-Козловский, ул. Шолохова, д. 17 А,   столб, Столб железобетонный БИК ООО",91,"ул. Шолохова Шолохова, р-н Неклиновский",47.145879,38.631761
"Россия, обл. Ростовская, р-н Матвеево-Курганский, с Кульбаково, пер. Школьный,   0,1 км севернее дома 31, столб, Столб железобетонный БИК ООО",90,"пер. Школьный Школьный, р-н Матвеево-Курганский",47.689516,38.927469
"Россия, обл. Новосибирская, рп Кольцово,   0.25 км северо-западнее Новосибирская область, рабочий поселок Кольцово, улица Технопарковая, строение 6, опора, Столб металлический МТС ПАО",89,,44.932351,7.537081
"Россия, обл. Свердловская, р-н Шалинский, пгт Староуткинск, ул. Ленина, д. 59,   АМС, Башня Екатеринбург - 2000 ООО",87,"ул. Ленина Ленина, р-н Шалинский",57.243953,58.74257
"Россия, респ. Татарстан, г. Набережные Челны, пр-т Мира, д. 88/20, Мачта на кровле МТС ПАО",86,,44.932351,7.537081
"Россия, обл. Ростовская, р-н Красносулинский, рп Углеродовский, ул. Восточная,   в районе д.9, башня, Башня БИК ООО",84,"ул. Восточная Восточная, р-н Красносулинский",48.143494,40.070593
"Россия, обл. Ростовская, р-н Красносулинский, х Гривенный, ул. Победы,   0.06 км восточнее дома 21, столб, Столб железобетонный БИК ООО",84,"ул. Победы Победы, р-н Красносулинский",47.818821,40.192153
"Россия, край Краснодарский, р-н Динской, х Осечки, д. 29/1,   столб, Столб железобетонный БИК ООО",84,,44.932351,7.537081
"Россия, край Краснодарский, г. Краснодар, ст-ца Старокорсунская, ул. Чонгарская, д. 302А,   столб 26м, Столб железобетонный БИК ООО",83,"ул. Чонгарская Чонгарская, г. Краснодар",45.063642,39.322377
"Россия, обл. Новосибирская, р-н Маслянинский,   Елбанский с/с, 3,5 км севернее Елбань с, башня, Башня БИК ООО",82,,44.932351,7.537081
"Россия, обл. Новосибирская, р-н Колыванский, д Пристань-Почта, ул. Шоссейная, д. 32/1,   опора, МАО (башня/мачта на пригрузах) БИК ООО",82,"ул. Шоссейная Шоссейная, р-н Колыванский",55.455224,82.98209
"Россия, край Краснодарский, р-н Тимашевский, ст-ца Днепровская, ул. Кузнечная,   столб, Столб железобетонный БИК ООО",81,"ул. Кузнечная Кузнечная, р-н Тимашевский",45.620157,38.930451
"Россия, обл. Ростовская, р-н Белокалитвинский, х Крутинский, ул. Победы,   юго-восточнее дома 62, столб, Столб железобетонный БИК ООО",80,"ул. Победы Победы, р-н Белокалитвинский",48.250026,40.893369
"Россия, край Краснодарский, р-н Усть-Лабинский, г. Усть-Лабинск, ул. Ладожская, д. 167,   столб, Столб железобетонный БИК ООО",80,"ул. Ладожская Ладожская, р-н Усть-Лабинский",45.220996,39.709219
"Россия, обл. Свердловская, р-н Ирбитский, с Килачёвское,   в юго-западной части кадастрового района ""Ирбитский районный"", башня, Башня БИК ООО",79,,44.932351,7.537081
"Россия, обл. Свердловская, г. Алапаевск, ул. Советская, д. 90, Мачта на кровле МТС ПАО",78,"ул. Советская Советская, г. Алапаевск",57.8277,61.658843
"Россия, край Краснодарский, р-н Северский, пгт Ильский, ул. Некрасова, д. 46-48,   столб, Столб железобетонный БИК ООО",78,"ул. Некрасова Некрасова, р-н Северский",44.840805,38.562007
"Россия, обл. Свердловская, р-н Алапаевский, пгт Махнёво,   коллективный сад Агропромхимии, ОДН, ОДН Русские Башни АО",77,,44.932351,7.537081
